Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,MaxTrends_movie,MaxTrends_Actor,MaxTrends_Director
incendies,2010.0,R,131 min,"Drama, Mystery, War",8.3,80.0,denis villeneuve,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Mustafa Kamel,150023,"6,857,096",160927,156845,22330
chhichhore,2019.0,UA,143 min,"Comedy, Drama",8.2,,nitesh tiwari,Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma,Prateik,33893,"898,575",854875,176894,11032
uri  the surgical strike,2018.0,UA,138 min,"Action, Drama, War",8.2,,aditya dhar,Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,43444,"4,186,168",377100,402145,107800
green book,2018.0,UA,130 min,"Biography, Comedy, Drama",8.2,69.0,peter farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco,377884,"85,080,171",2042862,166248,52050
three billboards outside ebbing  missouri,2017.0,A,115 min,"Comedy, Crime, Drama",8.2,88.0,martin mcdonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones,432610,"54,513,740",660950,171956,64328
talvar,2015.0,UA,132 min,"Crime, Drama, Mystery",8.2,,meghna gulzar,Irrfan Khan,Konkona Sen Sharma,Neeraj Kabi,Sohum Shah,31142,"342,370",641350,163191,20775
baahubali 2  the conclusion,2017.0,UA,167 min,"Action, Drama",8.2,,s.s. rajamouli,Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia,75348,"20,186,659",155200,75009,183475
drishyam,2015.0,UA,163 min,"Crime, Drama, Mystery",8.2,,nishikant kamat,Ajay Devgn,Shriya Saran,Tabu,Rajat Kapoor,70367,"739,478",2140908,46732,115300
queen,2013.0,UA,146 min,"Adventure, Comedy, Drama",8.2,,vikas bahl,Kangana Ranaut,Rajkummar Rao,Lisa Haydon,Jeffrey Ho,60701,"1,429,534",11473440,423208,199250
mandariinid,2013.0,,87 min,"Drama, War",8.2,73.0,zaza urushadze,Lembit Ulfsak,Elmo Nüganen,Giorgi Nakashidze,Misha Meskhi,40382,"144,501",6600,52335,0
bhaag milkha bhaag,2013.0,U,186 min,"Biography, Drama, Sport",8.2,,rakeysh omprakash mehra,Farhan Akhtar,Sonam Kapoor,Pawan Malhotra,Art Malik,61137,"1,626,289",1285300,147809,19240
udaan,2010.0,UA,134 min,Drama,8.2,,vikramaditya motwane,Rajat Barmecha,Ronit Roy,Manjot Singh,Ram Kapoor,42341,"7,461",270657,152607,5105
paan singh tomar,2012.0,UA,135 min,"Action, Biography, Crime",8.2,,tigmanshu dhulia,Irrfan Khan,Mahie Gill,Rajesh Abhay,Hemendra Dandotiya,33237,"39,567",408533,163191,36642
warrior,2011.0,UA,140 min,"Action, Drama, Sport",8.2,71.0,gavin oconnor,Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison,435950,"13,657,115",3515664,133198,12000
shutter island,2010.0,A,138 min,"Mystery, Thriller",8.2,63.0,martin scorsese,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley,1129894,"128,012,934",4190650,325412,289851
the wolf of wall street,2013.0,A,180 min,"Biography, Crime, Drama",8.2,75.0,martin scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey,1187498,"116,900,694",5016000,473420,289851
toy story 3,2010.0,U,103 min,"Animation, Adventure, Comedy",8.2,92.0,lee unkrich,Tom Hanks,Tim Allen,Joan Cusack,Ned Beatty,757032,"415,004,880",8110300,1145640,14333
portrait de la jeune fille en feu,2019.0,R,122 min,"Drama, Romance",8.1,95.0,céline sciamma,Noémie Merlant,Adèle Haenel,Luàna Bajrami,Valeria Golino,63134,"3,759,854",24666,58870,4806
pink,2016.0,UA,136 min,"Drama, Thriller",8.1,,aniruddha roy chowdhury,Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari,Andrea Tariang,39216,"1,241,223",16249800,416495,9316
mommy,2014.0,R,139 min,Drama,8.1,74.0,xavier dolan,Anne Dorval,Antoine Olivier Pilon,Suzanne Clément,Patrick Huard,50700,"3,492,754",1181277,104179,202300
haider,2014.0,UA,160 min,"Action, Crime, Drama",8.1,,vishal bhardwaj,Shahid Kapoor,Tabu,Shraddha Kapoor,Kay Kay Menon,50445,"901,610",3187355,175220,22511
logan,2017.0,A,137 min,"Action, Drama, Sci-Fi",8.1,77.0,james mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,647884,"226,277,068",17478645,288539,21915
room,2015.0,R,118 min,"Drama, Thriller",8.1,86.0,lenny abrahamson,Brie Larson,Jacob Tremblay,Sean Bridgers,Wendy Crewson,371538,"14,677,674",21168832,202643,45000
relatos salvajes,2014.0,R,122 min,"Comedy, Drama, Thriller",8.1,77.0,damián szifron,Darío Grandinetti,María Marull,Mónica Villa,Diego Starosta,177059,"3,107,072",605004,52511,23800
kis uykusu,2014.0,,196 min,Drama,8.1,88.0,nuri bilge ceylan,Haluk Bilginer,Melisa Sözen,Demet Akbag,Ayberk Pekcan,46547,"165,520",23850,60878,78041
pk,2014.0,UA,153 min,"Comedy, Drama, Musical",8.1,,rajkumar hirani,Aamir Khan,Anushka Sharma,Sanjay Dutt,Boman Irani,163061,"10,616,104",13349285,176388,65486
the grand budapest hotel,2014.0,UA,99 min,"Adventure, Comedy, Crime",8.1,88.0,wes anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody,707630,"59,100,318",604220,202643,448724
gone girl,2014.0,A,149 min,"Drama, Mystery, Thriller",8.1,79.0,david fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,859695,"167,767,189",5022720,329578,299800
ford v ferrari,2019.0,UA,152 min,"Action, Biography, Drama",8.1,81.0,james mangold,Matt Damon,Christian Bale,Jon Bernthal,Caitriona Balfe,291289,"117,624,028",641266,247814,21915
how to train your dragon,2010.0,U,98 min,"Animation, Action, Adventure",8.1,75.0,dean deblois,Chris Sanders,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,666773,"217,581,231",2308890,155317,1881
bajrangi bhaijaan,2015.0,UA,163 min,"Action, Adventure, Comedy",8.0,,kabir khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Kareena Kapoor,72245,"8,178,001",7252500,264906,89266
la la land,2016.0,A,128 min,"Comedy, Drama, Music",8.0,94.0,damien chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons,505918,"151,101,803",7673150,506625,268750
lion,2016.0,U,118 min,"Biography, Drama",8.0,69.0,garth davis,Dev Patel,Nicole Kidman,Rooney Mara,Sunny Pawar,213970,"51,739,495",7306139,230280,5574
the martian,2015.0,UA,144 min,"Adventure, Drama, Sci-Fi",8.0,80.0,ridley scott,Matt Damon,Jessica Chastain,Kristen Wiig,Kate Mara,760094,"228,433,663",6247600,305221,269468
zootopia,2016.0,U,108 min,"Animation, Adventure, Comedy",8.0,78.0,byron howard,Rich Moore,Jared Bush,Ginnifer Goodwin,Jason Bateman,434143,"341,268,248",6123840,101779,1335
bãhubali  the beginning,2015.0,UA,159 min,"Action, Drama",8.0,,s.s. rajamouli,Prabhas,Rana Daggubati,Ramya Krishnan,Sathyaraj,102972,"6,738,000",1608,153902,183475
wonder,2017.0,U,113 min,"Drama, Family",8.0,66.0,stephen chbosky,Jacob Tremblay,Owen Wilson,Izabela Vidovic,Julia Roberts,141923,"132,422,809",16891711,83816,20725
gully boy,2019.0,UA,154 min,"Drama, Music, Romance",8.0,65.0,zoya akhtar,Vijay Varma,Nakul Roshan Sahdev,Ranveer Singh,Vijay Raaz,31886,"5,566,534",1694100,213654,39984
short term 12,2013.0,R,96 min,Drama,8.0,82.0,destin daniel cretton,Brie Larson,Frantz Turner,John Gallagher Jr.,Kaitlyn Dever,81770,"1,010,414",90200,202643,4625
serbuan maut 2  berandal,2014.0,A,150 min,"Action, Crime, Thriller",8.0,71.0,gareth evans,Iko Uwais,Yayan Ruhian,Arifin Putra,Oka Antara,114316,"2,625,803",46002,112975,14236
the imitation game,2014.0,UA,114 min,"Biography, Drama, Thriller",8.0,73.0,morten tyldum,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Allen Leech,685201,"91,125,683",2611200,106858,17850
guardians of the galaxy,2014.0,UA,121 min,"Action, Adventure, Comedy",8.0,76.0,james gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,1043455,"333,176,600",9944203,812213,1231400
blade runner 2049,2017.0,UA,164 min,"Action, Drama, Mystery",8.0,81.0,denis villeneuve,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista,461823,"92,054,159",4987983,625003,22330
her,2013.0,A,126 min,"Drama, Romance, Sci-Fi",8.0,90.0,spike jonze,Joaquin Phoenix,Amy Adams,Scarlett Johansson,Rooney Mara,540772,"25,568,251",17524157,1032606,515533
mar adentro,2014.0,U,126 min,"Biography, Drama",8.0,74.0,alejandro amenábar,Javier Bardem,Belén Rueda,Lola Dueñas,Mabel Rivera,77554,"2,086,345",20512,72030,3024
knives out,2019.0,UA,130 min,"Comedy, Crime, Drama",7.9,82.0,rian johnson,Daniel Craig,Chris Evans,Ana de Armas,Jamie Lee Curtis,454203,"165,359,751",3736300,458077,243975
manbiki kazoku,2018.0,A,121 min,"Crime, Drama",7.9,93.0,hirokazu koreeda,Lily Franky,Sakura Andô,Kirin Kiki,Mayu Matsuoka,62754,"3,313,513",33000,102030,8231
marriage story,2019.0,U,137 min,"Comedy, Drama, Romance",7.9,94.0,noah baumbach,Adam Driver,Scarlett Johansson,Julia Greer,Azhy Robertson,246644,"2,000,000",1146900,367418,174214
call me by your name,2017.0,UA,132 min,"Drama, Romance",7.9,93.0,luca guadagnino,Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,Amira Casar,212651,"18,095,701",1766072,169382,183475
i  daniel blake,2016.0,UA,100 min,Drama,7.9,78.0,ken loach,Laura Obiols,Dave Johns,Hayley Squires,Sharon Percy,53818,"258,168",99500,202643,78504
isle of dogs,2018.0,U,101 min,"Animation, Adventure, Comedy",7.9,82.0,wes anderson,Bryan Cranston,Koyu Rankin,Edward Norton,Bob Balaban,139114,"32,015,231",1352750,117857,448724
hunt for the wilderpeople,2016.0,UA,101 min,"Adventure, Comedy, Drama",7.9,81.0,taika waititi,Sam Neill,Julian Dennison,Rima Te Wiata,Rachel House,111483,"5,202,582",187962,115147,294255
sing street,2016.0,PG-13,106 min,"Comedy, Drama, Music",7.9,79.0,john carney,Ferdia Walsh-Peelo,Aidan Gillen,Maria Doyle Kennedy,Jack Reynor,85109,"3,237,118",305428,53658,16908
thor  ragnarok,2017.0,UA,130 min,"Action, Adventure, Comedy",7.9,74.0,taika waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo,587775,"315,058,289",14160500,345083,294255
nightcrawler,2014.0,A,117 min,"Crime, Drama, Thriller",7.9,76.0,dan gilroy,Jake Gyllenhaal,Rene Russo,Bill Paxton,Riz Ahmed,466134,"32,381,218",1209600,326216,7533
jojo rabbit,2019.0,UA,108 min,"Comedy, Drama, War",7.9,58.0,taika waititi,Roman Griffin Davis,Thomasin McKenzie,Scarlett Johansson,Taika Waititi,297918,"349,555",2847318,226801,294255
arrival,2016.0,UA,116 min,"Drama, Sci-Fi",7.9,81.0,denis villeneuve,Amy Adams,Jeremy Renner,Forest Whitaker,Michael Stuhlbarg,594181,"100,546,139",3394719,731581,22330
before midnight,2013.0,R,109 min,"Drama, Romance",7.9,94.0,richard linklater,Ethan Hawke,Julie Delpy,Seamus Davey-Fitzpatrick,Ariane Labed,141457,"8,114,627",552000,150613,103422
x-men  days of future past,2014.0,UA,132 min,"Action, Adventure, Sci-Fi",7.9,75.0,bryan singer,Patrick Stewart,Ian McKellen,Hugh Jackman,James McAvoy,659763,"233,921,534",357000,255925,413471
bir zamanlar anadoluda,2011.0,,157 min,"Crime, Drama",7.9,82.0,nuri bilge ceylan,Muhammet Uzuner,Yilmaz Erdogan,Taner Birsel,Ahmet Mümtaz Taylan,41995,"138,730",28050,4670,78041
the artist,2011.0,U,100 min,"Comedy, Drama, Romance",7.9,89.0,michel hazanavicius,Jean Dujardin,Bérénice Bejo,John Goodman,James Cromwell,230624,"44,671,682",1882478,79494,94600
edge of tomorrow,2014.0,UA,113 min,"Action, Adventure, Sci-Fi",7.9,71.0,doug liman,Tom Cruise,Emily Blunt,Bill Paxton,Brendan Gleeson,600004,"100,206,256",2703933,527795,4388
amour,2012.0,UA,127 min,"Drama, Romance",7.9,94.0,michael haneke,Jean-Louis Trintignant,Emmanuelle Riva,Isabelle Huppert,Alexandre Tharaud,93090,"6,739,492",2357261,104111,75440
the irishman,2019.0,R,209 min,"Biography, Crime, Drama",7.9,94.0,martin scorsese,Robert De Niro,Al Pacino,Joe Pesci,Harvey Keitel,324720,"7,000,000",3964350,382018,289851
boyhood,2014.0,A,165 min,Drama,7.9,100.0,richard linklater,Ellar Coltrane,Patricia Arquette,Ethan Hawke,Elijah Smith,335533,"25,379,975",1433500,94944,103422
life of pi,2012.0,U,127 min,"Adventure, Drama, Fantasy",7.9,79.0,ang lee,Suraj Sharma,Irrfan Khan,Adil Hussain,Tabu,580708,"124,987,023",3011433,39303,330766
dunkirk,2017.0,UA,106 min,"Action, Drama, History",7.8,94.0,christopher nolan,Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy,555092,"188,373,161",7971166,145366,1607733
hidden figures,2016.0,UA,127 min,"Biography, Drama, History",7.8,74.0,theodore melfi,Taraji P. Henson,Octavia Spencer,Janelle Monáe,Kevin Costner,200876,"169,607,287",3095633,281051,4261
paddington 2,2017.0,U,103 min,"Adventure, Comedy, Family",7.8,88.0,paul king,Ben Whishaw,Hugh Grant,Hugh Bonneville,Sally Hawkins,61594,"40,442,052",735675,143979,93828
kubo and the two strings,2016.0,PG,101 min,"Animation, Action, Adventure",7.8,84.0,travis knight,Charlize Theron,Art Parkinson,Matthew McConaughey,Ralph Fiennes,118035,"48,023,088",590600,287014,9474
manchester by the sea,2016.0,UA,137 min,Drama,7.8,96.0,kenneth lonergan,Casey Affleck,Michelle Williams,Kyle Chandler,Lucas Hedges,246963,"47,695,120",1344506,176434,22940
rogue one,2016.0,UA,133 min,"Action, Adventure, Sci-Fi",7.8,65.0,gareth edwards,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,556608,"532,177,324",8630500,123410,44102
the hateful eight,2015.0,A,168 min,"Crime, Drama, Mystery",7.8,68.0,quentin tarantino,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,517059,"54,117,416",1768550,151323,1187284
little women,2019.0,U,135 min,"Drama, Romance",7.8,91.0,greta gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen,143250,"108,101,214",3074066,539609,1161775
loving vincent,2017.0,UA,94 min,"Animation, Biography, Crime",7.8,62.0,dorota kobiela,Hugh Welchman,Douglas Booth,Jerome Flynn,Robert Gulaczyk,50778,"6,735,118",398266,110913,8728
le passé,2013.0,PG-13,130 min,"Drama, Mystery",7.8,85.0,asghar farhadi,Bérénice Bejo,Tahar Rahim,Ali Mosaffa,Pauline Burlet,45002,"1,330,596",112863,114091,38566
la grande bellezza,2013.0,,141 min,Drama,7.8,86.0,paolo sorrentino,Toni Servillo,Carlo Verdone,Sabrina Ferilli,Carlo Buccirosso,81125,"2,852,400",578795,112936,115783
the lunchbox,2013.0,U,104 min,"Drama, Romance",7.8,76.0,ritesh batra,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey,50523,"4,231,500",159792,45272,6161
vicky donor,2012.0,UA,126 min,"Comedy, Romance",7.8,,shoojit sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia,39710,"169,209",1279200,75582,4271
big hero 6,2014.0,U,102 min,"Animation, Action, Adventure",7.8,74.0,don hall,Chris Williams,Ryan Potter,Scott Adsit,Jamie Chung,410983,"222,527,828",3470133,117861,13158
about time,2013.0,R,123 min,"Comedy, Drama, Fantasy",7.8,55.0,richard curtis,Domhnall Gleeson,Rachel McAdams,Bill Nighy,Lydia Wilson,303032,"15,322,921",1498740,120514,52712
english vinglish,2012.0,U,134 min,"Comedy, Drama, Family",7.8,,gauri shinde,Sridevi,Adil Hussain,Mehdi Nebbou,Priya Anand,33618,"1,670,773",1373600,120668,22300
kaze tachinu,2013.0,PG-13,126 min,"Animation, Biography, Drama",7.8,83.0,hayao miyazaki,Hideaki Anno,Hidetoshi Nishijima,Miori Takimoto,Masahiko Nishimura,73690,"5,209,580",56133,53223,176447
toy story 4,2019.0,U,100 min,"Animation, Adventure, Comedy",7.8,84.0,josh cooley,Tom Hanks,Tim Allen,Annie Potts,Tony Hale,203177,"434,038,008",8522500,1145640,5428
la migliore offerta,2013.0,R,131 min,"Crime, Drama, Mystery",7.8,49.0,giuseppe tornatore,Geoffrey Rush,Jim Sturgess,Sylvia Hoeks,Donald Sutherland,108399,"85,433",89117,202643,6866
moonrise kingdom,2012.0,A,94 min,"Comedy, Drama, Romance",7.8,84.0,wes anderson,Jared Gilman,Kara Hayward,Bruce Willis,Bill Murray,318789,"45,512,466",1298850,249286,448724
how to train your dragon 2,2014.0,U,102 min,"Animation, Action, Adventure",7.8,76.0,dean deblois,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,305611,"177,002,924",2485800,202643,1881
the big short,2015.0,A,130 min,"Biography, Comedy, Drama",7.8,81.0,adam mckay,Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt,362942,"70,259,870",2899762,688578,332471
the girl with the dragon tattoo,2011.0,R,158 min,"Crime, Drama, Mystery",7.8,71.0,david fincher,Daniel Craig,Rooney Mara,Christopher Plummer,Stellan Skarsgård,423010,"102,515,793",4227900,319097,299800
captain phillips,2013.0,UA,134 min,"Adventure, Biography, Crime",7.8,82.0,paul greengrass,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener,421244,"107,100,855",1871833,1045326,16285
ajeossi,2010.0,R,119 min,"Action, Crime, Drama",7.8,,jeong-beom lee,Won Bin,Sae-ron Kim,Tae-hoon Kim,Hee-won Kim,62848,"6,460",609,156657,0
straight outta compton,2015.0,R,147 min,"Biography, Drama, History",7.8,72.0,f. gary gray,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.,179264,"161,197,785",7200600,19488,9842
the hobbit  the desolation of smaug,2013.0,UA,161 min,"Adventure, Fantasy",7.8,66.0,peter jackson,Ian McKellen,Martin Freeman,Richard Armitage,Ken Stott,601408,"258,366,855",515400,124623,1164166
the fighter,2010.0,UA,116 min,"Biography, Drama, Sport",7.8,79.0,david o. russell,Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo,340584,"93,617,009",1736950,178779,47200
the hobbit  an unexpected journey,2012.0,UA,169 min,"Adventure, Fantasy",7.8,58.0,peter jackson,Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis,757377,"303,003,568",338500,124623,1164166
drive,2011.0,A,100 min,"Crime, Drama",7.8,78.0,nicolas winding refn,Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,571571,"35,061,555",23477757,441877,21791
gods own country,2017.0,,104 min,"Drama, Romance",7.7,85.0,francis lee,Josh O'Connor,Alec Secareanu,Gemma Jones,Ian Hart,25198,"335,609",16588,103021,37946
deadpool 2,2018.0,R,119 min,"Action, Adventure, Comedy",7.7,66.0,david leitch,Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison,478586,"324,591,735",10479400,316850,23111
wind river,2017.0,R,107 min,"Crime, Drama, Mystery",7.7,73.0,taylor sheridan,Kelsey Asbille,Jeremy Renner,Julia Jones,Teo Briones,205444,"33,800,859",1463637,655404,317065
get out,2017.0,R,104 min,"Horror, Mystery, Thriller",7.7,85.0,jordan peele,Daniel Kaluuya,Allison Williams,Bradley Whitford,Catherine Keener,492851,"176,040,665",7628103,140142,840186
mission  impossible - fallout,2018.0,UA,147 min,"Action, Adventure, Thriller",7.7,86.0,christopher mcquarrie,Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg,291257,"220,159,104",2096806,549027,9766
en man som heter ove,2015.0,PG-13,116 min,"Comedy, Drama, Romance",7.7,70.0,hannes holm,Rolf Lassgård,Bahar Pars,Filip Berg,Ida Engvoll,47444,"3,358,518",27915,54526,19433
what we do in the shadows,2014.0,R,86 min,"Comedy, Horror",7.7,76.0,jemaine clement,Taika Waititi,Jemaine Clement,Taika Waititi,Cori Gonzalez-Macuer,157498,"3,333,000",137578,96097,65185
the theory of everything,2014.0,U,123 min,"Biography, Drama, Romance",7.7,72.0,james marsh,Eddie Redmayne,Felicity Jones,Tom Prior,Sophie Perry,404182,"35,893,537",1006698,133921,13262
kingsman  the secret service,2014.0,A,129 min,"Action, Adventure, Comedy",7.7,60.0,matthew vaughn,Colin Firth,Taron Egerton,Samuel L. Jackson,Michael Caine,590440,"128,261,724",90839,168515,77100
the fault in our stars,2014.0,UA,126 min,"Drama, Romance",7.7,69.0,josh boone,Shailene Woodley,Ansel Elgort,Nat Wolff,Laura Dern,344312,"124,872,350",6354700,202643,31200
me and earl and the dying girl,2015.0,PG-13,105 min,"Comedy, Drama",7.7,74.0,alfonso gomez-rejon,Thomas Mann,RJ Cyler,Olivia Cooke,Nick Offerman,123210,"6,743,776",272200,78215,12233
birdman or  the unexpected virtue of ignorance,2014.0,A,119 min,"Comedy, Drama",7.7,87.0,alejandro g. iñárritu,Michael Keaton,Zach Galifianakis,Edward Norton,Andrea Riseborough,580291,"42,340,598",2762,210155,19266
the broken circle breakdown,2012.0,,111 min,"Drama, Music, Romance",7.7,70.0,felix van groeningen,Veerle Baetens,Johan Heldenbergh,Nell Cattrysse,Geert Van Rampelberg,39379,"175,058",48550,52238,15014
captain america  the winter soldier,2014.0,UA,136 min,"Action, Adventure, Sci-Fi",7.7,70.0,anthony russo,Joe Russo,Chris Evans,Samuel L. Jackson,Scarlett Johansson,736182,"259,766,572",1272400,363084,16692
rockstar,2011.0,UA,159 min,"Drama, Music, Musical",7.7,,imtiaz ali,Ranbir Kapoor,Nargis Fakhri,Shammi Kapoor,Kumud Mishra,39501,"985,912",4700976,338187,52389
nebraska,2013.0,UA,115 min,"Adventure, Comedy, Drama",7.7,87.0,alexander payne,Bruce Dern,Will Forte,June Squibb,Bob Odenkirk,112298,"17,654,912",1820315,130899,53571
wreck-it ralph,2012.0,U,101 min,"Animation, Adventure, Comedy",7.7,72.0,rich moore,John C. Reilly,Jack McBrayer,Jane Lynch,Sarah Silverman,380195,"189,422,889",145487,104422,12486
le petit prince,2015.0,PG,108 min,"Animation, Adventure, Drama",7.7,70.0,mark osborne,Jeff Bridges,Mackenzie Foy,Rachel McAdams,Marion Cotillard,56720,"1,339,152",136842,202643,9735
detachment,2011.0,,98 min,Drama,7.7,52.0,tony kaye,Adrien Brody,Christina Hendricks,Marcia Gay Harden,Lucy Liu,77071,"71,177",107502,161442,8025
midnight in paris,2011.0,PG-13,96 min,"Comedy, Fantasy, Romance",7.7,81.0,woody allen,Owen Wilson,Rachel McAdams,Kathy Bates,Kurt Fuller,388089,"56,816,662",550385,140672,1765641
the lego movie,2014.0,U,100 min,"Animation, Action, Adventure",7.7,83.0,christopher miller,Phil Lord,Chris Pratt,Will Ferrell,Elizabeth Banks,323982,"257,760,692",1802650,219078,61510
gravity,2013.0,UA,91 min,"Drama, Sci-Fi, Thriller",7.7,96.0,alfonso cuarón,Sandra Bullock,George Clooney,Ed Harris,Orto Ignatiussen,769145,"274,092,705",9989077,293978,30670
