Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,MaxTrends_movie
logan,2017.0,A,137 min,"Action, Drama, Sci-Fi",8.1,77.0,James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,647884,"226,277,068",17478645
room,2015.0,R,118 min,"Drama, Thriller",8.1,86.0,Lenny Abrahamson,Brie Larson,Jacob Tremblay,Sean Bridgers,Wendy Crewson,371538,"14,677,674",21168832
relatos salvajes,2014.0,R,122 min,"Comedy, Drama, Thriller",8.1,77.0,Damián Szifron,Darío Grandinetti,María Marull,Mónica Villa,Diego Starosta,177059,"3,107,072",605004
kis uykusu,2014.0,,196 min,Drama,8.1,88.0,Nuri Bilge Ceylan,Haluk Bilginer,Melisa Sözen,Demet Akbag,Ayberk Pekcan,46547,"165,520",23850
pk,2014.0,UA,153 min,"Comedy, Drama, Musical",8.1,,Rajkumar Hirani,Aamir Khan,Anushka Sharma,Sanjay Dutt,Boman Irani,163061,"10,616,104",13349285
the grand budapest hotel,2014.0,UA,99 min,"Adventure, Comedy, Crime",8.1,88.0,Wes Anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody,707630,"59,100,318",604220
gone girl,2014.0,A,149 min,"Drama, Mystery, Thriller",8.1,79.0,David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,859695,"167,767,189",5022720
ford v ferrari,2019.0,UA,152 min,"Action, Biography, Drama",8.1,81.0,James Mangold,Matt Damon,Christian Bale,Jon Bernthal,Caitriona Balfe,291289,"117,624,028",641266
how to train your dragon,2010.0,U,98 min,"Animation, Action, Adventure",8.1,75.0,Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,666773,"217,581,231",2308890
bajrangi bhaijaan,2015.0,UA,163 min,"Action, Adventure, Comedy",8.0,,Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Kareena Kapoor,72245,"8,178,001",7252500
la la land,2016.0,A,128 min,"Comedy, Drama, Music",8.0,94.0,Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons,505918,"151,101,803",7673150
lion,2016.0,U,118 min,"Biography, Drama",8.0,69.0,Garth Davis,Dev Patel,Nicole Kidman,Rooney Mara,Sunny Pawar,213970,"51,739,495",7306139
the martian,2015.0,UA,144 min,"Adventure, Drama, Sci-Fi",8.0,80.0,Ridley Scott,Matt Damon,Jessica Chastain,Kristen Wiig,Kate Mara,760094,"228,433,663",6247600
zootopia,2016.0,U,108 min,"Animation, Adventure, Comedy",8.0,78.0,Byron Howard,Rich Moore,Jared Bush,Ginnifer Goodwin,Jason Bateman,434143,"341,268,248",6123840
bãhubali  the beginning,2015.0,UA,159 min,"Action, Drama",8.0,,S.S. Rajamouli,Prabhas,Rana Daggubati,Ramya Krishnan,Sathyaraj,102972,"6,738,000",1608
wonder,2017.0,U,113 min,"Drama, Family",8.0,66.0,Stephen Chbosky,Jacob Tremblay,Owen Wilson,Izabela Vidovic,Julia Roberts,141923,"132,422,809",16891711
gully boy,2019.0,UA,154 min,"Drama, Music, Romance",8.0,65.0,Zoya Akhtar,Vijay Varma,Nakul Roshan Sahdev,Ranveer Singh,Vijay Raaz,31886,"5,566,534",1694100
short term 12,2013.0,R,96 min,Drama,8.0,82.0,Destin Daniel Cretton,Brie Larson,Frantz Turner,John Gallagher Jr.,Kaitlyn Dever,81770,"1,010,414",90200
serbuan maut 2  berandal,2014.0,A,150 min,"Action, Crime, Thriller",8.0,71.0,Gareth Evans,Iko Uwais,Yayan Ruhian,Arifin Putra,Oka Antara,114316,"2,625,803",46002
the imitation game,2014.0,UA,114 min,"Biography, Drama, Thriller",8.0,73.0,Morten Tyldum,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Allen Leech,685201,"91,125,683",2611200
guardians of the galaxy,2014.0,UA,121 min,"Action, Adventure, Comedy",8.0,76.0,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,1043455,"333,176,600",9944203
blade runner 2049,2017.0,UA,164 min,"Action, Drama, Mystery",8.0,81.0,Denis Villeneuve,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista,461823,"92,054,159",4987983
her,2013.0,A,126 min,"Drama, Romance, Sci-Fi",8.0,90.0,Spike Jonze,Joaquin Phoenix,Amy Adams,Scarlett Johansson,Rooney Mara,540772,"25,568,251",17524157
mar adentro,2014.0,U,126 min,"Biography, Drama",8.0,74.0,Alejandro Amenábar,Javier Bardem,Belén Rueda,Lola Dueñas,Mabel Rivera,77554,"2,086,345",20512
knives out,2019.0,UA,130 min,"Comedy, Crime, Drama",7.9,82.0,Rian Johnson,Daniel Craig,Chris Evans,Ana de Armas,Jamie Lee Curtis,454203,"165,359,751",3736300
manbiki kazoku,2018.0,A,121 min,"Crime, Drama",7.9,93.0,Hirokazu Koreeda,Lily Franky,Sakura Andô,Kirin Kiki,Mayu Matsuoka,62754,"3,313,513",33000
marriage story,2019.0,U,137 min,"Comedy, Drama, Romance",7.9,94.0,Noah Baumbach,Adam Driver,Scarlett Johansson,Julia Greer,Azhy Robertson,246644,"2,000,000",1146900
call me by your name,2017.0,UA,132 min,"Drama, Romance",7.9,93.0,Luca Guadagnino,Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,Amira Casar,212651,"18,095,701",1766072
i  daniel blake,2016.0,UA,100 min,Drama,7.9,78.0,Ken Loach,Laura Obiols,Dave Johns,Hayley Squires,Sharon Percy,53818,"258,168",99500
isle of dogs,2018.0,U,101 min,"Animation, Adventure, Comedy",7.9,82.0,Wes Anderson,Bryan Cranston,Koyu Rankin,Edward Norton,Bob Balaban,139114,"32,015,231",1352750
hunt for the wilderpeople,2016.0,UA,101 min,"Adventure, Comedy, Drama",7.9,81.0,Taika Waititi,Sam Neill,Julian Dennison,Rima Te Wiata,Rachel House,111483,"5,202,582",187962
sing street,2016.0,PG-13,106 min,"Comedy, Drama, Music",7.9,79.0,John Carney,Ferdia Walsh-Peelo,Aidan Gillen,Maria Doyle Kennedy,Jack Reynor,85109,"3,237,118",305428
thor  ragnarok,2017.0,UA,130 min,"Action, Adventure, Comedy",7.9,74.0,Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo,587775,"315,058,289",14160500
nightcrawler,2014.0,A,117 min,"Crime, Drama, Thriller",7.9,76.0,Dan Gilroy,Jake Gyllenhaal,Rene Russo,Bill Paxton,Riz Ahmed,466134,"32,381,218",1209600
jojo rabbit,2019.0,UA,108 min,"Comedy, Drama, War",7.9,58.0,Taika Waititi,Roman Griffin Davis,Thomasin McKenzie,Scarlett Johansson,Taika Waititi,297918,"349,555",2847318
arrival,2016.0,UA,116 min,"Drama, Sci-Fi",7.9,81.0,Denis Villeneuve,Amy Adams,Jeremy Renner,Forest Whitaker,Michael Stuhlbarg,594181,"100,546,139",3394719
before midnight,2013.0,R,109 min,"Drama, Romance",7.9,94.0,Richard Linklater,Ethan Hawke,Julie Delpy,Seamus Davey-Fitzpatrick,Ariane Labed,141457,"8,114,627",552000
x-men  days of future past,2014.0,UA,132 min,"Action, Adventure, Sci-Fi",7.9,75.0,Bryan Singer,Patrick Stewart,Ian McKellen,Hugh Jackman,James McAvoy,659763,"233,921,534",357000
bir zamanlar anadoluda,2011.0,,157 min,"Crime, Drama",7.9,82.0,Nuri Bilge Ceylan,Muhammet Uzuner,Yilmaz Erdogan,Taner Birsel,Ahmet Mümtaz Taylan,41995,"138,730",28050
the artist,2011.0,U,100 min,"Comedy, Drama, Romance",7.9,89.0,Michel Hazanavicius,Jean Dujardin,Bérénice Bejo,John Goodman,James Cromwell,230624,"44,671,682",1882478
edge of tomorrow,2014.0,UA,113 min,"Action, Adventure, Sci-Fi",7.9,71.0,Doug Liman,Tom Cruise,Emily Blunt,Bill Paxton,Brendan Gleeson,600004,"100,206,256",2703933
amour,2012.0,UA,127 min,"Drama, Romance",7.9,94.0,Michael Haneke,Jean-Louis Trintignant,Emmanuelle Riva,Isabelle Huppert,Alexandre Tharaud,93090,"6,739,492",2357261
the irishman,2019.0,R,209 min,"Biography, Crime, Drama",7.9,94.0,Martin Scorsese,Robert De Niro,Al Pacino,Joe Pesci,Harvey Keitel,324720,"7,000,000",3964350
boyhood,2014.0,A,165 min,Drama,7.9,100.0,Richard Linklater,Ellar Coltrane,Patricia Arquette,Ethan Hawke,Elijah Smith,335533,"25,379,975",1433500
life of pi,2012.0,U,127 min,"Adventure, Drama, Fantasy",7.9,79.0,Ang Lee,Suraj Sharma,Irrfan Khan,Adil Hussain,Tabu,580708,"124,987,023",3011433
dunkirk,2017.0,UA,106 min,"Action, Drama, History",7.8,94.0,Christopher Nolan,Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy,555092,"188,373,161",7971166
hidden figures,2016.0,UA,127 min,"Biography, Drama, History",7.8,74.0,Theodore Melfi,Taraji P. Henson,Octavia Spencer,Janelle Monáe,Kevin Costner,200876,"169,607,287",3095633
paddington 2,2017.0,U,103 min,"Adventure, Comedy, Family",7.8,88.0,Paul King,Ben Whishaw,Hugh Grant,Hugh Bonneville,Sally Hawkins,61594,"40,442,052",735675
kubo and the two strings,2016.0,PG,101 min,"Animation, Action, Adventure",7.8,84.0,Travis Knight,Charlize Theron,Art Parkinson,Matthew McConaughey,Ralph Fiennes,118035,"48,023,088",590600
manchester by the sea,2016.0,UA,137 min,Drama,7.8,96.0,Kenneth Lonergan,Casey Affleck,Michelle Williams,Kyle Chandler,Lucas Hedges,246963,"47,695,120",1344506
rogue one,2016.0,UA,133 min,"Action, Adventure, Sci-Fi",7.8,65.0,Gareth Edwards,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,556608,"532,177,324",8630500
the hateful eight,2015.0,A,168 min,"Crime, Drama, Mystery",7.8,68.0,Quentin Tarantino,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,517059,"54,117,416",1768550
little women,2019.0,U,135 min,"Drama, Romance",7.8,91.0,Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen,143250,"108,101,214",3074066
loving vincent,2017.0,UA,94 min,"Animation, Biography, Crime",7.8,62.0,Dorota Kobiela,Hugh Welchman,Douglas Booth,Jerome Flynn,Robert Gulaczyk,50778,"6,735,118",398266
le passé,2013.0,PG-13,130 min,"Drama, Mystery",7.8,85.0,Asghar Farhadi,Bérénice Bejo,Tahar Rahim,Ali Mosaffa,Pauline Burlet,45002,"1,330,596",112863
la grande bellezza,2013.0,,141 min,Drama,7.8,86.0,Paolo Sorrentino,Toni Servillo,Carlo Verdone,Sabrina Ferilli,Carlo Buccirosso,81125,"2,852,400",578795
the lunchbox,2013.0,U,104 min,"Drama, Romance",7.8,76.0,Ritesh Batra,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey,50523,"4,231,500",159792
vicky donor,2012.0,UA,126 min,"Comedy, Romance",7.8,,Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia,39710,"169,209",1279200
big hero 6,2014.0,U,102 min,"Animation, Action, Adventure",7.8,74.0,Don Hall,Chris Williams,Ryan Potter,Scott Adsit,Jamie Chung,410983,"222,527,828",3470133
about time,2013.0,R,123 min,"Comedy, Drama, Fantasy",7.8,55.0,Richard Curtis,Domhnall Gleeson,Rachel McAdams,Bill Nighy,Lydia Wilson,303032,"15,322,921",1498740
english vinglish,2012.0,U,134 min,"Comedy, Drama, Family",7.8,,Gauri Shinde,Sridevi,Adil Hussain,Mehdi Nebbou,Priya Anand,33618,"1,670,773",1373600
kaze tachinu,2013.0,PG-13,126 min,"Animation, Biography, Drama",7.8,83.0,Hayao Miyazaki,Hideaki Anno,Hidetoshi Nishijima,Miori Takimoto,Masahiko Nishimura,73690,"5,209,580",56133
toy story 4,2019.0,U,100 min,"Animation, Adventure, Comedy",7.8,84.0,Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,Tony Hale,203177,"434,038,008",8522500
la migliore offerta,2013.0,R,131 min,"Crime, Drama, Mystery",7.8,49.0,Giuseppe Tornatore,Geoffrey Rush,Jim Sturgess,Sylvia Hoeks,Donald Sutherland,108399,"85,433",89117
moonrise kingdom,2012.0,A,94 min,"Comedy, Drama, Romance",7.8,84.0,Wes Anderson,Jared Gilman,Kara Hayward,Bruce Willis,Bill Murray,318789,"45,512,466",1298850
how to train your dragon 2,2014.0,U,102 min,"Animation, Action, Adventure",7.8,76.0,Dean DeBlois,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,305611,"177,002,924",2485800
the big short,2015.0,A,130 min,"Biography, Comedy, Drama",7.8,81.0,Adam McKay,Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt,362942,"70,259,870",2899762
the girl with the dragon tattoo,2011.0,R,158 min,"Crime, Drama, Mystery",7.8,71.0,David Fincher,Daniel Craig,Rooney Mara,Christopher Plummer,Stellan Skarsgård,423010,"102,515,793",4227900
captain phillips,2013.0,UA,134 min,"Adventure, Biography, Crime",7.8,82.0,Paul Greengrass,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener,421244,"107,100,855",1871833
ajeossi,2010.0,R,119 min,"Action, Crime, Drama",7.8,,Jeong-beom Lee,Won Bin,Sae-ron Kim,Tae-hoon Kim,Hee-won Kim,62848,"6,460",609
straight outta compton,2015.0,R,147 min,"Biography, Drama, History",7.8,72.0,F. Gary Gray,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.,179264,"161,197,785",7200600
the hobbit  the desolation of smaug,2013.0,UA,161 min,"Adventure, Fantasy",7.8,66.0,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Ken Stott,601408,"258,366,855",515400
the fighter,2010.0,UA,116 min,"Biography, Drama, Sport",7.8,79.0,David O. Russell,Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo,340584,"93,617,009",1736950
the hobbit  an unexpected journey,2012.0,UA,169 min,"Adventure, Fantasy",7.8,58.0,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis,757377,"303,003,568",338500
drive,2011.0,A,100 min,"Crime, Drama",7.8,78.0,Nicolas Winding Refn,Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,571571,"35,061,555",23477757
gods own country,2017.0,,104 min,"Drama, Romance",7.7,85.0,Francis Lee,Josh O'Connor,Alec Secareanu,Gemma Jones,Ian Hart,25198,"335,609",16588
deadpool 2,2018.0,R,119 min,"Action, Adventure, Comedy",7.7,66.0,David Leitch,Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison,478586,"324,591,735",10479400
wind river,2017.0,R,107 min,"Crime, Drama, Mystery",7.7,73.0,Taylor Sheridan,Kelsey Asbille,Jeremy Renner,Julia Jones,Teo Briones,205444,"33,800,859",1463637
get out,2017.0,R,104 min,"Horror, Mystery, Thriller",7.7,85.0,Jordan Peele,Daniel Kaluuya,Allison Williams,Bradley Whitford,Catherine Keener,492851,"176,040,665",7628103
mission  impossible - fallout,2018.0,UA,147 min,"Action, Adventure, Thriller",7.7,86.0,Christopher McQuarrie,Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg,291257,"220,159,104",2096806
en man som heter ove,2015.0,PG-13,116 min,"Comedy, Drama, Romance",7.7,70.0,Hannes Holm,Rolf Lassgård,Bahar Pars,Filip Berg,Ida Engvoll,47444,"3,358,518",27915
what we do in the shadows,2014.0,R,86 min,"Comedy, Horror",7.7,76.0,Jemaine Clement,Taika Waititi,Jemaine Clement,Taika Waititi,Cori Gonzalez-Macuer,157498,"3,333,000",137578
the theory of everything,2014.0,U,123 min,"Biography, Drama, Romance",7.7,72.0,James Marsh,Eddie Redmayne,Felicity Jones,Tom Prior,Sophie Perry,404182,"35,893,537",1006698
kingsman  the secret service,2014.0,A,129 min,"Action, Adventure, Comedy",7.7,60.0,Matthew Vaughn,Colin Firth,Taron Egerton,Samuel L. Jackson,Michael Caine,590440,"128,261,724",90839
the fault in our stars,2014.0,UA,126 min,"Drama, Romance",7.7,69.0,Josh Boone,Shailene Woodley,Ansel Elgort,Nat Wolff,Laura Dern,344312,"124,872,350",6354700
me and earl and the dying girl,2015.0,PG-13,105 min,"Comedy, Drama",7.7,74.0,Alfonso Gomez-Rejon,Thomas Mann,RJ Cyler,Olivia Cooke,Nick Offerman,123210,"6,743,776",272200
birdman or  the unexpected virtue of ignorance,2014.0,A,119 min,"Comedy, Drama",7.7,87.0,Alejandro G. Iñárritu,Michael Keaton,Zach Galifianakis,Edward Norton,Andrea Riseborough,580291,"42,340,598",2762
the broken circle breakdown,2012.0,,111 min,"Drama, Music, Romance",7.7,70.0,Felix van Groeningen,Veerle Baetens,Johan Heldenbergh,Nell Cattrysse,Geert Van Rampelberg,39379,"175,058",48550
captain america  the winter soldier,2014.0,UA,136 min,"Action, Adventure, Sci-Fi",7.7,70.0,Anthony Russo,Joe Russo,Chris Evans,Samuel L. Jackson,Scarlett Johansson,736182,"259,766,572",1272400
rockstar,2011.0,UA,159 min,"Drama, Music, Musical",7.7,,Imtiaz Ali,Ranbir Kapoor,Nargis Fakhri,Shammi Kapoor,Kumud Mishra,39501,"985,912",4700976
nebraska,2013.0,UA,115 min,"Adventure, Comedy, Drama",7.7,87.0,Alexander Payne,Bruce Dern,Will Forte,June Squibb,Bob Odenkirk,112298,"17,654,912",1820315
wreck-it ralph,2012.0,U,101 min,"Animation, Adventure, Comedy",7.7,72.0,Rich Moore,John C. Reilly,Jack McBrayer,Jane Lynch,Sarah Silverman,380195,"189,422,889",145487
le petit prince,2015.0,PG,108 min,"Animation, Adventure, Drama",7.7,70.0,Mark Osborne,Jeff Bridges,Mackenzie Foy,Rachel McAdams,Marion Cotillard,56720,"1,339,152",136842
detachment,2011.0,,98 min,Drama,7.7,52.0,Tony Kaye,Adrien Brody,Christina Hendricks,Marcia Gay Harden,Lucy Liu,77071,"71,177",107502
midnight in paris,2011.0,PG-13,96 min,"Comedy, Fantasy, Romance",7.7,81.0,Woody Allen,Owen Wilson,Rachel McAdams,Kathy Bates,Kurt Fuller,388089,"56,816,662",550385
the lego movie,2014.0,U,100 min,"Animation, Action, Adventure",7.7,83.0,Christopher Miller,Phil Lord,Chris Pratt,Will Ferrell,Elizabeth Banks,323982,"257,760,692",1802650
gravity,2013.0,UA,91 min,"Drama, Sci-Fi, Thriller",7.7,96.0,Alfonso Cuarón,Sandra Bullock,George Clooney,Ed Harris,Orto Ignatiussen,769145,"274,092,705",9989077
star trek into darkness,2013.0,UA,132 min,"Action, Adventure, Sci-Fi",7.7,72.0,J.J. Abrams,Chris Pine,Zachary Quinto,Zoe Saldana,Benedict Cumberbatch,463188,"228,778,661",1722100
beasts of no nation,2015.0,,137 min,"Drama, War",7.7,79.0,Cary Joji Fukunaga,Abraham Attah,Emmanuel Affadzi,Ricky Adelayitor,Andrew Adote,73964,"83,861",362400
the social network,2010.0,UA,120 min,"Biography, Drama",7.7,95.0,David Fincher,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Rooney Mara,624982,"96,962,694",2848000
x  first class,2011.0,UA,131 min,"Action, Adventure, Sci-Fi",7.7,65.0,Matthew Vaughn,James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon,645512,"146,408,305",1832600
skyfall,2012.0,UA,143 min,"Action, Adventure, Thriller",7.7,81.0,Sam Mendes,Daniel Craig,Javier Bardem,Naomie Harris,Judi Dench,630614,"304,360,277",18731000
silver linings playbook,2012.0,A,122 min,"Comedy, Drama, Romance",7.7,81.0,David O. Russell,Bradley Cooper,Jennifer Lawrence,Robert De Niro,Jacki Weaver,661871,"132,092,958",2813850
argo,2012.0,A,120 min,"Biography, Drama, Thriller",7.7,86.0,Ben Affleck,Ben Affleck,Bryan Cranston,John Goodman,Alan Arkin,572581,"136,025,503",1847891
